type,subtype,city,street,pubMillis
jam,jam_stand_still_traffic,providencia,av. vicuña mackenna,1748966857000
police,,ñuñoa,av. salvador,1748965771000
hazard,hazard_on_road_pot_hole,peñalolén,av. consistorial,1748964243000
police,,las condes,los militares,1748965913000
jam,jam_heavy_traffic,santiago,miraflores,1748966019000
chit_chat,,las condes,flor de azucena,1748965258000
hazard,hazard_on_road_construction,peñalolén,av. josé arrieta,1748966879000
hazard,hazard_on_shoulder_car_stopped,providencia,av. suecia,1748966948000
hazard,hazard_on_road_construction,ñuñoa,av. suecia,1748965871000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
hazard,hazard_on_road_pot_hole,peñalolén,av. los presidentes,1748283406000
chit_chat,,las condes,av. alonso de córdova,1748966646000
jam,jam_stand_still_traffic,providencia,av. providencia,1748966302000
chit_chat,,santiago,av. 10 de julio huamachuco,1748965451000
police,,las condes,av. cristóbal colón,1748966044000
hazard,hazard_on_road_pot_hole,santiago,av. manuel antonio matta,1748526109000
chit_chat,,santiago,victoria subercaseaux,1748965565000
road_closed,road_closed_event,peñalolén,alonso de berríos,1748912344000
hazard,hazard_on_road_construction,ñuñoa,av. irarrázaval,1748967014000
road_closed,road_closed_event,peñalolén,av. tobalaba,1745930892000
jam,jam_stand_still_traffic,las condes,chesterton,1748965708000
hazard,hazard_on_road_pot_hole,san joaquín,av. salvador allende,1748966255000
jam,jam_stand_still_traffic,providencia,av. tobalaba,1748967116000
jam,jam_heavy_traffic,las condes,av. américo vespucio norte,1748965939000
jam,jam_stand_still_traffic,providencia,seminario,1748965982000
police,,santiago,arturo prat,1748965887000
chit_chat,,santiago,pío nono,1748966466000
hazard,hazard_on_shoulder_car_stopped,las condes,av. padre hurtado sur,1748965322000
jam,jam_heavy_traffic,ñuñoa,rodrigo de araya,1748967215000
chit_chat,,las condes,av. alonso de córdova,1748966521000
road_closed,road_closed_event,providencia,av. vitacura > oriente,1739474743000
hazard,hazard_on_road_traffic_light_fault,las condes,av. padre hurtado,1748965310000
police,,las condes,flor de azucena,1748964928000
hazard,hazard_on_road_pot_hole,ñuñoa,hamburgo,1748962405000
jam,jam_stand_still_traffic,providencia,av. providencia,1748966242000
jam,jam_stand_still_traffic,santiago,tarapacá,1748965906000
hazard,hazard_on_road_construction,las condes,pasaje martín alonso pinzón,1748952000000
police,,providencia,av. el cerro,1748966484000
police,,santiago,san francisco,1748965333000
hazard,hazard_on_road_pot_hole,peñalolén,el embalse,1748951348000
jam,,santiago,agustinas,1748966420000
